Samples	Class	1,2-anhydro-myo-inositol	1-hexadecanol	2-hydroxyglutaric acid	2-isopropylmalic acid	2-ketoisocaproic acid	3,6-anhydrogalactose	3-hydroxy-3-methylglutaric acid	4-hydroxyproline	alanine	alpha ketoglutaric acid	arabinose	arabitol	arachidic acid	asparagine	aspartic acid	behenic acid	benzoic acid	beta alanine	butyl stearate	caffeic acid	cellobiose	cis-caffeic acid	citramalate	citric acid	citrulline	conduritol-beta-epoxide	cysteine	dehydroascorbate	erythritol	fructose	fucose	GABA	galactinol	galactonic acid	galactose	galacturonic acid	glucoheptulose	gluconic acid	glucose	glucuronic acid	glutamic acid	glyceric acid	glycerol	glycerol-3-galactoside NIST	glycerol-alpha-phosphate	glycine	guanine	heptadecanoic acid	homoserine	indole-3-lactate	inositol myo-	inulobiose	isocitric acid	isogalactinol	isoleucine	isothreonic acid	lactic acid	Lauric acid	leucine	lysine	lyxitol	malate	maleic acid	maltose	mannitol	melibiose	methionine	N-acetyl-D-hexosamine	N-acetyl-D-mannosamine	nicotianamine	octadecanol	Oleic acid	ornithine	oxoproline	palmitic acid	pelargonic acid	phenylalanine	pipecolic acid	proline	pseudo uridine	putrescine	quinic acid	ribonic acid	ribose	saccharopine	serine	shikimic acid	sophorose	sorbitol	spermidine	Stearic acid	suberyl glycine	succinic acid	talose	tartaric acid	threitol	threonic acid	threonine	trehalose	tryptophan	tyrosine	uracil	urea	uridine	valine	xanthine	xylitol	xylose
421765	White wine type and source:Chardonnay, Carneros, CA 2003 (CH02)	11889.00	3343.00	73578.00	4824.00	615.00	1451.00	2477.00	22440.00	317662.00	2048.00	41703.00	8490.00	1623.00	9202.00	48268.00	2116.00	4078.00	15999.00	1284.00	1053.00	14893.00	620.00	18822.00	89167.00	9753.00	55361.00	1564.00	10128.00	95391.00	138091.00	14610.00	316294.00	2111.00	1833.00	25593.00	132222.00	4065.00	9151.00	64618.00	2437.00	14800.00	9609.00	463856.00	10624.00	1390.00	105797.00	2295.00	2157.00	3372.00	872.00	197885.00	863.00	5526.00	2005.00	38915.00	3899.00	1256408.00	6265.00	120921.00	89161.00	5291.00	74043.00	291126.00	2937.00	168623.00	8043.00	9765.00	15921.00	12651.00	714.00	1055.00	202.00	108549.00	199091.00	7412.00	8289.00	31129.00	13420.00	2966462.00	1022.00	25602.00	2067.00	3204.00	7116.00	884.00	36599.00	46151.00	7770.00	78495.00	3634.00	42745.00	1312.00	768527.00	3034.00	466662.00	9423.00	5605.00	22530.00	1865.00	151.00	40720.00	6378.00	3610.00	408.00	60910.00	1218.00	2541.00	33842.00
421769	White wine type and source:Chardonnay, Carneros, CA 2003 (CH02)	12568.00	2195.00	69558.00	4462.00	599.00	1486.00	2092.00	18347.00	360054.00	1739.00	38438.00	8651.00	1367.00	9753.00	45366.00	1864.00	3278.00	14490.00	2006.00	1022.00	15322.00	563.00	16965.00	87562.00	7797.00	56627.00	243.00	9157.00	95667.00	141477.00	13966.00	298330.00	1939.00	7610.00	25366.00	133139.00	3983.00	8468.00	66060.00	2749.00	15329.00	4131.00	512929.00	9703.00	1952.00	108217.00	2138.00	2101.00	2936.00	824.00	207120.00	907.00	5279.00	3699.00	37750.00	3964.00	1402173.00	17505.00	124803.00	94668.00	5108.00	63046.00	314756.00	3498.00	223557.00	7657.00	8515.00	16133.00	12543.00	591.00	1061.00	143.00	71313.00	181068.00	5977.00	8521.00	29971.00	13186.00	2685862.00	2710.00	26755.00	2357.00	2952.00	7079.00	548.00	37989.00	39795.00	8521.00	82941.00	3630.00	36357.00	1000.00	850442.00	2126.00	402657.00	8780.00	5820.00	23317.00	1830.00	195.00	40199.00	6109.00	4689.00	325.00	62148.00	1222.00	2769.00	33855.00
421774	White wine type and source:Chardonnay, Carneros, CA 2004	8697.00	1887.00	74761.00	3144.00	373.00	2582.00	2018.00	16352.00	129322.00	1959.00	25025.00	4977.00	1378.00	5541.00	17702.00	2729.00	4351.00	10789.00	3081.00	1924.00	26303.00	903.00	23621.00	28435.00	1563.00	37082.00	1839.00	14570.00	123487.00	409448.00	10264.00	53720.00	1571.00	1010.00	14575.00	80791.00	2936.00	708.00	290625.00	816.00	6605.00	1607.00	797806.00	11374.00	902.00	44025.00	172.00	2349.00	1901.00	992.00	184736.00	1179.00	2722.00	3110.00	15391.00	3452.00	1036841.00	2896.00	58151.00	41251.00	3610.00	40912.00	291765.00	9446.00	333335.00	466.00	4230.00	9458.00	10371.00	508.00	933.00	303.00	15064.00	75960.00	8720.00	12802.00	13098.00	5987.00	2902041.00	2262.00	13124.00	2159.00	1379.00	4355.00	432.00	14908.00	34059.00	8377.00	102247.00	1040.00	63650.00	793.00	1056205.00	2076.00	291781.00	7495.00	4651.00	10613.00	15582.00	1454.00	19381.00	6221.00	1464.00	107.00	26460.00	739.00	1524.00	26010.00
421778	White wine type and source:Chardonnay, Carneros, CA 2004	9724.00	925.00	74915.00	3299.00	534.00	2696.00	1147.00	16222.00	128708.00	2241.00	24268.00	4522.00	1369.00	6078.00	17439.00	1183.00	2720.00	12660.00	2315.00	2592.00	26788.00	1343.00	25558.00	27466.00	1250.00	36179.00	2263.00	12895.00	126771.00	415308.00	10167.00	56504.00	1552.00	1052.00	14683.00	85275.00	2801.00	789.00	285728.00	1741.00	6207.00	3247.00	1115267.00	10508.00	1785.00	50225.00	222.00	1658.00	1894.00	933.00	171024.00	1096.00	2863.00	3116.00	16852.00	3472.00	975596.00	10272.00	56285.00	40751.00	4553.00	43495.00	267275.00	8958.00	308410.00	320.00	4156.00	11523.00	10378.00	393.00	241.00	124.00	10264.00	73522.00	3951.00	7383.00	13091.00	5217.00	2691309.00	1925.00	17164.00	2142.00	1405.00	4671.00	382.00	18620.00	33628.00	8150.00	92257.00	1002.00	31304.00	742.00	1070687.00	1859.00	318493.00	8007.00	4719.00	10918.00	16329.00	1453.00	18489.00	5139.00	3112.00	124.00	30511.00	648.00	1400.00	24351.00
421782	White wine type and source:Chardonnay, Carneros, CA 2004	9880.00	1077.00	87113.00	3712.00	384.00	3126.00	1505.00	16838.00	119177.00	3320.00	29820.00	5773.00	1276.00	7457.00	21700.00	2495.00	4922.00	14387.00	4342.00	2449.00	34448.00	1901.00	29873.00	35949.00	1598.00	46072.00	796.00	16203.00	146237.00	360790.00	12189.00	63851.00	1934.00	1048.00	231177.00	97423.00	2976.00	1125.00	285854.00	6144.00	7197.00	2860.00	582608.00	14290.00	2371.00	56056.00	285.00	2572.00	2213.00	1196.00	188888.00	989.00	3752.00	3910.00	19195.00	4135.00	816995.00	11743.00	61676.00	47298.00	5523.00	49332.00	251472.00	11205.00	378710.00	1397.00	4846.00	13158.00	13276.00	488.00	447.00	188.00	11478.00	97633.00	11049.00	38768.00	14706.00	5768.00	2642879.00	3446.00	20150.00	2575.00	2042.00	5160.00	556.00	23217.00	44107.00	10119.00	102896.00	1287.00	100638.00	1260.00	1198601.00	2764.00	380277.00	9979.00	5536.00	12886.00	20416.00	2049.00	24635.00	12868.00	3128.00	202.00	33914.00	1032.00	1467.00	28737.00
421786	White wine type and source:Chardonnay, Carneros, CA 2004	9541.00	2244.00	93519.00	3866.00	484.00	3251.00	2594.00	14069.00	115566.00	3522.00	31345.00	6810.00	1723.00	6455.00	21564.00	2915.00	4727.00	15115.00	4249.00	2256.00	37094.00	1912.00	32802.00	37936.00	1560.00	45644.00	113.00	18176.00	127092.00	327196.00	12476.00	68078.00	2171.00	1359.00	156131.00	99713.00	4650.00	1195.00	297550.00	998.00	8288.00	2908.00	457934.00	14801.00	1213.00	57957.00	286.00	2622.00	2847.00	1484.00	197748.00	1365.00	4020.00	4680.00	18710.00	4481.00	845998.00	12728.00	68405.00	50609.00	4387.00	56125.00	269709.00	11777.00	400277.00	8763.00	5347.00	13624.00	14732.00	373.00	852.00	218.00	17058.00	107859.00	12115.00	40699.00	17463.00	7371.00	2714324.00	3301.00	15266.00	2985.00	1827.00	6224.00	769.00	16831.00	44842.00	12351.00	105903.00	1290.00	72100.00	975.00	1213052.00	2301.00	393158.00	9875.00	6154.00	14637.00	20563.00	1952.00	28403.00	5675.00	1830.00	140.00	32012.00	1130.00	1908.00	29615.00
421790	White wine type and source:Chardonnay, Carneros, CA 2004	8927.00	1740.00	76314.00	3263.00	339.00	2625.00	399.00	18001.00	141241.00	2246.00	26185.00	4814.00	1240.00	4930.00	18662.00	1909.00	2721.00	12710.00	1438.00	1937.00	21016.00	926.00	26681.00	28070.00	1678.00	37325.00	3393.00	13406.00	133960.00	400229.00	9003.00	60366.00	1052.00	1165.00	34425.00	89645.00	2873.00	839.00	282479.00	2069.00	6264.00	2204.00	886792.00	9993.00	1027.00	53732.00	281.00	1992.00	2176.00	918.00	185546.00	908.00	2836.00	2121.00	17425.00	3871.00	1097553.00	8025.00	65804.00	41648.00	4042.00	45517.00	302836.00	6807.00	331818.00	5154.00	4711.00	11492.00	9915.00	437.00	868.00	378.00	14303.00	78421.00	9506.00	8103.00	14571.00	6406.00	2521866.00	1306.00	12615.00	2524.00	1708.00	5201.00	476.00	16454.00	33522.00	6112.00	94507.00	1004.00	53336.00	609.00	1147914.00	2345.00	349395.00	8206.00	4767.00	14947.00	11248.00	1597.00	19592.00	6929.00	1373.00	110.00	29284.00	731.00	1391.00	25274.00
421794	White wine type and source:Chardonnay, Carneros, CA 2004	7518.00	995.00	66876.00	3200.00	461.00	1943.00	1840.00	14582.00	120373.00	1825.00	23507.00	3718.00	1072.00	5101.00	16858.00	1724.00	3920.00	11377.00	2461.00	1671.00	19900.00	752.00	23794.00	25631.00	1591.00	36277.00	2345.00	11665.00	111728.00	400359.00	8719.00	49309.00	910.00	979.00	78915.00	74191.00	2066.00	725.00	254068.00	1888.00	6570.00	2077.00	1263344.00	10594.00	602.00	41511.00	260.00	2153.00	1797.00	894.00	180776.00	937.00	2744.00	1998.00	13934.00	3658.00	965885.00	3084.00	52123.00	38060.00	3781.00	40214.00	271059.00	6710.00	310075.00	4853.00	3977.00	10658.00	9468.00	451.00	533.00	152.00	12495.00	66630.00	5804.00	11205.00	11705.00	5611.00	2789080.00	1887.00	12212.00	2082.00	1536.00	4501.00	342.00	14938.00	31224.00	5210.00	87264.00	991.00	42358.00	726.00	979306.00	1699.00	314745.00	6973.00	4293.00	10635.00	11837.00	1390.00	18542.00	4725.00	1403.00	119.00	24920.00	631.00	1405.00	21623.00
421799	White wine type and source:Chardonnay, Monterey, CA 2003	8539.00	1641.00	61095.00	5915.00	491.00	760.00	1587.00	22235.00	397380.00	2644.00	34938.00	5208.00	1133.00	7406.00	50279.00	1483.00	4091.00	17443.00	3737.00	1563.00	1366.00	1438.00	9846.00	92113.00	13988.00	36262.00	961.00	7331.00	59514.00	54018.00	10192.00	336497.00	535.00	1002.00	16126.00	70204.00	2192.00	2575.00	182031.00	3134.00	13650.00	2991.00	2276029.00	4030.00	1316.00	79343.00	505.00	1740.00	4524.00	1983.00	132387.00	734.00	4323.00	1471.00	17827.00	3131.00	124823.00	5264.00	61911.00	42522.00	3006.00	293437.00	281499.00	1101.00	136673.00	1589.00	2213.00	8563.00	8874.00	302.00	1041.00	206.00	80607.00	451632.00	8102.00	16466.00	15198.00	7847.00	2548947.00	1703.00	14746.00	2184.00	1721.00	4479.00	713.00	39692.00	47312.00	2002.00	59730.00	1040.00	41663.00	882.00	651008.00	2020.00	304469.00	6818.00	4672.00	21390.00	415.00	1421.00	40930.00	18975.00	4794.00	281.00	42170.00	348.00	2793.00	14014.00
421803	White wine type and source:Chardonnay, Monterey, CA 2003	9320.00	3497.00	71016.00	6169.00	609.00	663.00	2398.00	21651.00	480591.00	2744.00	38424.00	6083.00	1392.00	16663.00	59257.00	2266.00	2884.00	19517.00	2247.00	2295.00	2875.00	1960.00	11615.00	122961.00	14631.00	48440.00	2170.00	9036.00	64049.00	67215.00	9647.00	394206.00	1284.00	1396.00	16906.00	100490.00	3119.00	3453.00	222092.00	1731.00	18106.00	1445.00	638088.00	6475.00	2293.00	88564.00	809.00	813.00	4233.00	2906.00	181343.00	938.00	5268.00	3279.00	19802.00	3145.00	144456.00	15951.00	71699.00	52453.00	3876.00	349345.00	346242.00	1811.00	99926.00	3622.00	5315.00	9687.00	11712.00	525.00	942.00	280.00	140269.00	506652.00	8815.00	8921.00	17995.00	9311.00	3271704.00	2438.00	16757.00	2220.00	1851.00	4899.00	798.00	44146.00	59370.00	4431.00	73473.00	1514.00	52062.00	2394.00	690693.00	4738.00	337047.00	8185.00	5115.00	23916.00	1704.00	1683.00	50177.00	8115.00	4261.00	197.00	46281.00	403.00	2639.00	16765.00
421807	White wine type and source:Chardonnay, Monterey, CA 2003	9788.00	2885.00	67203.00	6312.00	463.00	895.00	1915.00	16640.00	446916.00	2847.00	37598.00	6150.00	1248.00	14417.00	54571.00	1614.00	3273.00	18486.00	3127.00	2163.00	2720.00	1865.00	11517.00	122311.00	20348.00	47048.00	85.00	8734.00	71527.00	68659.00	10644.00	384763.00	1308.00	1318.00	14548.00	105555.00	3645.00	3596.00	228401.00	2096.00	15653.00	4668.00	691649.00	6186.00	2177.00	88644.00	668.00	2209.00	4614.00	2723.00	171009.00	1065.00	5297.00	3878.00	18758.00	3088.00	126051.00	5210.00	67072.00	54523.00	3553.00	347679.00	330598.00	1783.00	107380.00	3988.00	4914.00	13256.00	11649.00	480.00	1284.00	203.00	97568.00	506502.00	8543.00	7599.00	19003.00	9394.00	3321343.00	646.00	16159.00	2257.00	1946.00	4878.00	719.00	39807.00	57203.00	4494.00	73738.00	1243.00	53226.00	1533.00	746724.00	2240.00	340228.00	7404.00	4966.00	20172.00	1568.00	1681.00	51917.00	2621.00	3946.00	214.00	45758.00	570.00	2806.00	15252.00
421811	White wine type and source:Chardonnay, Monterey, CA 2003	10602.00	1047.00	79029.00	7484.00	602.00	1013.00	1725.00	29104.00	497994.00	3489.00	41197.00	6666.00	1247.00	12153.00	62392.00	2324.00	4474.00	21889.00	835.00	3878.00	2274.00	2892.00	13266.00	138457.00	16889.00	49809.00	1221.00	9567.00	67584.00	72898.00	14157.00	435939.00	909.00	1211.00	23941.00	100871.00	3368.00	3471.00	256995.00	2142.00	18385.00	5347.00	526041.00	6160.00	2607.00	100086.00	796.00	1565.00	4910.00	2821.00	163793.00	897.00	5800.00	2610.00	22316.00	3793.00	145898.00	16433.00	74995.00	54950.00	4491.00	367509.00	357670.00	1740.00	96059.00	2680.00	2494.00	9239.00	12895.00	414.00	633.00	140.00	107220.00	603146.00	4621.00	8510.00	14977.00	10735.00	2930969.00	563.00	19485.00	2502.00	2182.00	5367.00	865.00	53251.00	61178.00	3196.00	78760.00	1180.00	33248.00	1153.00	823222.00	2598.00	371792.00	9204.00	5855.00	24762.00	903.00	1548.00	53905.00	24090.00	2252.00	353.00	57837.00	641.00	2324.00	19042.00
