sample_id,label,variety,variety_group,"1,2-anhydro-myo-inositol",1-hexadecanol,2-hydroxyglutaric acid,2-isopropylmalic acid,2-ketoisocaproic acid,"3,6-anhydrogalactose",3-hydroxy-3-methylglutaric acid,4-hydroxyproline,alanine,alpha ketoglutaric acid,arabinose,arabitol,arachidic acid,asparagine,aspartic acid,behenic acid,benzoic acid,beta alanine,butyl stearate,caffeic acid,cellobiose,cis-caffeic acid,citramalate,citric acid,citrulline,conduritol-beta-epoxide,cysteine,dehydroascorbate,erythritol,fructose,fucose,GABA,galactinol,galactonic acid,galactose,galacturonic acid,glucoheptulose,gluconic acid,glucose,glucuronic acid,glutamic acid,glyceric acid,glycerol,glycerol-3-galactoside NIST,glycerol-alpha-phosphate,glycine,guanine,heptadecanoic acid,homoserine,indole-3-lactate,inositol myo-,inulobiose,isocitric acid,isogalactinol,isoleucine,isothreonic acid,lactic acid,Lauric acid,leucine,lysine,lyxitol,malate,maleic acid,maltose,mannitol,melibiose,methionine,N-acetyl-D-hexosamine,N-acetyl-D-mannosamine,nicotianamine,octadecanol,Oleic acid,ornithine,oxoproline,palmitic acid,pelargonic acid,phenylalanine,pipecolic acid,proline,pseudo uridine,putrescine,quinic acid,ribonic acid,ribose,saccharopine,serine,shikimic acid,sophorose,sorbitol,spermidine,Stearic acid,suberyl glycine,succinic acid,talose,tartaric acid,threitol,threonic acid,threonine,trehalose,tryptophan,tyrosine,uracil,urea,uridine,valine,xanthine,xylitol,xylose
421765,"Chardonnay, Carneros, CA 2003 (CH02)",Chardonnay,Chardonnay,11889.0,3343.0,73578.0,4824.0,615.0,1451.0,2477.0,22440.0,317662.0,2048.0,41703.0,8490.0,1623.0,9202.0,48268.0,2116.0,4078.0,15999.0,1284.0,1053.0,14893.0,620.0,18822.0,89167.0,9753.0,55361.0,1564.0,10128.0,95391.0,138091.0,14610.0,316294.0,2111.0,1833.0,25593.0,132222.0,4065.0,9151.0,64618.0,2437.0,14800.0,9609.0,463856.0,10624.0,1390.0,105797.0,2295.0,2157.0,3372.0,872.0,197885.0,863.0,5526.0,2005.0,38915.0,3899.0,1256408.0,6265.0,120921.0,89161.0,5291.0,74043.0,291126.0,2937.0,168623.0,8043.0,9765.0,15921.0,12651.0,714.0,1055.0,202.0,108549.0,199091.0,7412.0,8289.0,31129.0,13420.0,2966462.0,1022.0,25602.0,2067.0,3204.0,7116.0,884.0,36599.0,46151.0,7770.0,78495.0,3634.0,42745.0,1312.0,768527.0,3034.0,466662.0,9423.0,5605.0,22530.0,1865.0,151.0,40720.0,6378.0,3610.0,408.0,60910.0,1218.0,2541.0,33842.0
421769,"Chardonnay, Carneros, CA 2003 (CH02)",Chardonnay,Chardonnay,12568.0,2195.0,69558.0,4462.0,599.0,1486.0,2092.0,18347.0,360054.0,1739.0,38438.0,8651.0,1367.0,9753.0,45366.0,1864.0,3278.0,14490.0,2006.0,1022.0,15322.0,563.0,16965.0,87562.0,7797.0,56627.0,243.0,9157.0,95667.0,141477.0,13966.0,298330.0,1939.0,7610.0,25366.0,133139.0,3983.0,8468.0,66060.0,2749.0,15329.0,4131.0,512929.0,9703.0,1952.0,108217.0,2138.0,2101.0,2936.0,824.0,207120.0,907.0,5279.0,3699.0,37750.0,3964.0,1402173.0,17505.0,124803.0,94668.0,5108.0,63046.0,314756.0,3498.0,223557.0,7657.0,8515.0,16133.0,12543.0,591.0,1061.0,143.0,71313.0,181068.0,5977.0,8521.0,29971.0,13186.0,2685862.0,2710.0,26755.0,2357.0,2952.0,7079.0,548.0,37989.0,39795.0,8521.0,82941.0,3630.0,36357.0,1000.0,850442.0,2126.0,402657.0,8780.0,5820.0,23317.0,1830.0,195.0,40199.0,6109.0,4689.0,325.0,62148.0,1222.0,2769.0,33855.0
421774,"Chardonnay, Carneros, CA 2004",Chardonnay,Chardonnay,8697.0,1887.0,74761.0,3144.0,373.0,2582.0,2018.0,16352.0,129322.0,1959.0,25025.0,4977.0,1378.0,5541.0,17702.0,2729.0,4351.0,10789.0,3081.0,1924.0,26303.0,903.0,23621.0,28435.0,1563.0,37082.0,1839.0,14570.0,123487.0,409448.0,10264.0,53720.0,1571.0,1010.0,14575.0,80791.0,2936.0,708.0,290625.0,816.0,6605.0,1607.0,797806.0,11374.0,902.0,44025.0,172.0,2349.0,1901.0,992.0,184736.0,1179.0,2722.0,3110.0,15391.0,3452.0,1036841.0,2896.0,58151.0,41251.0,3610.0,40912.0,291765.0,9446.0,333335.0,466.0,4230.0,9458.0,10371.0,508.0,933.0,303.0,15064.0,75960.0,8720.0,12802.0,13098.0,5987.0,2902041.0,2262.0,13124.0,2159.0,1379.0,4355.0,432.0,14908.0,34059.0,8377.0,102247.0,1040.0,63650.0,793.0,1056205.0,2076.0,291781.0,7495.0,4651.0,10613.0,15582.0,1454.0,19381.0,6221.0,1464.0,107.0,26460.0,739.0,1524.0,26010.0
421778,"Chardonnay, Carneros, CA 2004",Chardonnay,Chardonnay,9724.0,925.0,74915.0,3299.0,534.0,2696.0,1147.0,16222.0,128708.0,2241.0,24268.0,4522.0,1369.0,6078.0,17439.0,1183.0,2720.0,12660.0,2315.0,2592.0,26788.0,1343.0,25558.0,27466.0,1250.0,36179.0,2263.0,12895.0,126771.0,415308.0,10167.0,56504.0,1552.0,1052.0,14683.0,85275.0,2801.0,789.0,285728.0,1741.0,6207.0,3247.0,1115267.0,10508.0,1785.0,50225.0,222.0,1658.0,1894.0,933.0,171024.0,1096.0,2863.0,3116.0,16852.0,3472.0,975596.0,10272.0,56285.0,40751.0,4553.0,43495.0,267275.0,8958.0,308410.0,320.0,4156.0,11523.0,10378.0,393.0,241.0,124.0,10264.0,73522.0,3951.0,7383.0,13091.0,5217.0,2691309.0,1925.0,17164.0,2142.0,1405.0,4671.0,382.0,18620.0,33628.0,8150.0,92257.0,1002.0,31304.0,742.0,1070687.0,1859.0,318493.0,8007.0,4719.0,10918.0,16329.0,1453.0,18489.0,5139.0,3112.0,124.0,30511.0,648.0,1400.0,24351.0
421782,"Chardonnay, Carneros, CA 2004",Chardonnay,Chardonnay,9880.0,1077.0,87113.0,3712.0,384.0,3126.0,1505.0,16838.0,119177.0,3320.0,29820.0,5773.0,1276.0,7457.0,21700.0,2495.0,4922.0,14387.0,4342.0,2449.0,34448.0,1901.0,29873.0,35949.0,1598.0,46072.0,796.0,16203.0,146237.0,360790.0,12189.0,63851.0,1934.0,1048.0,231177.0,97423.0,2976.0,1125.0,285854.0,6144.0,7197.0,2860.0,582608.0,14290.0,2371.0,56056.0,285.0,2572.0,2213.0,1196.0,188888.0,989.0,3752.0,3910.0,19195.0,4135.0,816995.0,11743.0,61676.0,47298.0,5523.0,49332.0,251472.0,11205.0,378710.0,1397.0,4846.0,13158.0,13276.0,488.0,447.0,188.0,11478.0,97633.0,11049.0,38768.0,14706.0,5768.0,2642879.0,3446.0,20150.0,2575.0,2042.0,5160.0,556.0,23217.0,44107.0,10119.0,102896.0,1287.0,100638.0,1260.0,1198601.0,2764.0,380277.0,9979.0,5536.0,12886.0,20416.0,2049.0,24635.0,12868.0,3128.0,202.0,33914.0,1032.0,1467.0,28737.0
421786,"Chardonnay, Carneros, CA 2004",Chardonnay,Chardonnay,9541.0,2244.0,93519.0,3866.0,484.0,3251.0,2594.0,14069.0,115566.0,3522.0,31345.0,6810.0,1723.0,6455.0,21564.0,2915.0,4727.0,15115.0,4249.0,2256.0,37094.0,1912.0,32802.0,37936.0,1560.0,45644.0,113.0,18176.0,127092.0,327196.0,12476.0,68078.0,2171.0,1359.0,156131.0,99713.0,4650.0,1195.0,297550.0,998.0,8288.0,2908.0,457934.0,14801.0,1213.0,57957.0,286.0,2622.0,2847.0,1484.0,197748.0,1365.0,4020.0,4680.0,18710.0,4481.0,845998.0,12728.0,68405.0,50609.0,4387.0,56125.0,269709.0,11777.0,400277.0,8763.0,5347.0,13624.0,14732.0,373.0,852.0,218.0,17058.0,107859.0,12115.0,40699.0,17463.0,7371.0,2714324.0,3301.0,15266.0,2985.0,1827.0,6224.0,769.0,16831.0,44842.0,12351.0,105903.0,1290.0,72100.0,975.0,1213052.0,2301.0,393158.0,9875.0,6154.0,14637.0,20563.0,1952.0,28403.0,5675.0,1830.0,140.0,32012.0,1130.0,1908.0,29615.0
421790,"Chardonnay, Carneros, CA 2004",Chardonnay,Chardonnay,8927.0,1740.0,76314.0,3263.0,339.0,2625.0,399.0,18001.0,141241.0,2246.0,26185.0,4814.0,1240.0,4930.0,18662.0,1909.0,2721.0,12710.0,1438.0,1937.0,21016.0,926.0,26681.0,28070.0,1678.0,37325.0,3393.0,13406.0,133960.0,400229.0,9003.0,60366.0,1052.0,1165.0,34425.0,89645.0,2873.0,839.0,282479.0,2069.0,6264.0,2204.0,886792.0,9993.0,1027.0,53732.0,281.0,1992.0,2176.0,918.0,185546.0,908.0,2836.0,2121.0,17425.0,3871.0,1097553.0,8025.0,65804.0,41648.0,4042.0,45517.0,302836.0,6807.0,331818.0,5154.0,4711.0,11492.0,9915.0,437.0,868.0,378.0,14303.0,78421.0,9506.0,8103.0,14571.0,6406.0,2521866.0,1306.0,12615.0,2524.0,1708.0,5201.0,476.0,16454.0,33522.0,6112.0,94507.0,1004.0,53336.0,609.0,1147914.0,2345.0,349395.0,8206.0,4767.0,14947.0,11248.0,1597.0,19592.0,6929.0,1373.0,110.0,29284.0,731.0,1391.0,25274.0
421794,"Chardonnay, Carneros, CA 2004",Chardonnay,Chardonnay,7518.0,995.0,66876.0,3200.0,461.0,1943.0,1840.0,14582.0,120373.0,1825.0,23507.0,3718.0,1072.0,5101.0,16858.0,1724.0,3920.0,11377.0,2461.0,1671.0,19900.0,752.0,23794.0,25631.0,1591.0,36277.0,2345.0,11665.0,111728.0,400359.0,8719.0,49309.0,910.0,979.0,78915.0,74191.0,2066.0,725.0,254068.0,1888.0,6570.0,2077.0,1263344.0,10594.0,602.0,41511.0,260.0,2153.0,1797.0,894.0,180776.0,937.0,2744.0,1998.0,13934.0,3658.0,965885.0,3084.0,52123.0,38060.0,3781.0,40214.0,271059.0,6710.0,310075.0,4853.0,3977.0,10658.0,9468.0,451.0,533.0,152.0,12495.0,66630.0,5804.0,11205.0,11705.0,5611.0,2789080.0,1887.0,12212.0,2082.0,1536.0,4501.0,342.0,14938.0,31224.0,5210.0,87264.0,991.0,42358.0,726.0,979306.0,1699.0,314745.0,6973.0,4293.0,10635.0,11837.0,1390.0,18542.0,4725.0,1403.0,119.0,24920.0,631.0,1405.0,21623.0
421799,"Chardonnay, Monterey, CA 2003",Chardonnay,Chardonnay,8539.0,1641.0,61095.0,5915.0,491.0,760.0,1587.0,22235.0,397380.0,2644.0,34938.0,5208.0,1133.0,7406.0,50279.0,1483.0,4091.0,17443.0,3737.0,1563.0,1366.0,1438.0,9846.0,92113.0,13988.0,36262.0,961.0,7331.0,59514.0,54018.0,10192.0,336497.0,535.0,1002.0,16126.0,70204.0,2192.0,2575.0,182031.0,3134.0,13650.0,2991.0,2276029.0,4030.0,1316.0,79343.0,505.0,1740.0,4524.0,1983.0,132387.0,734.0,4323.0,1471.0,17827.0,3131.0,124823.0,5264.0,61911.0,42522.0,3006.0,293437.0,281499.0,1101.0,136673.0,1589.0,2213.0,8563.0,8874.0,302.0,1041.0,206.0,80607.0,451632.0,8102.0,16466.0,15198.0,7847.0,2548947.0,1703.0,14746.0,2184.0,1721.0,4479.0,713.0,39692.0,47312.0,2002.0,59730.0,1040.0,41663.0,882.0,651008.0,2020.0,304469.0,6818.0,4672.0,21390.0,415.0,1421.0,40930.0,18975.0,4794.0,281.0,42170.0,348.0,2793.0,14014.0
421803,"Chardonnay, Monterey, CA 2003",Chardonnay,Chardonnay,9320.0,3497.0,71016.0,6169.0,609.0,663.0,2398.0,21651.0,480591.0,2744.0,38424.0,6083.0,1392.0,16663.0,59257.0,2266.0,2884.0,19517.0,2247.0,2295.0,2875.0,1960.0,11615.0,122961.0,14631.0,48440.0,2170.0,9036.0,64049.0,67215.0,9647.0,394206.0,1284.0,1396.0,16906.0,100490.0,3119.0,3453.0,222092.0,1731.0,18106.0,1445.0,638088.0,6475.0,2293.0,88564.0,809.0,813.0,4233.0,2906.0,181343.0,938.0,5268.0,3279.0,19802.0,3145.0,144456.0,15951.0,71699.0,52453.0,3876.0,349345.0,346242.0,1811.0,99926.0,3622.0,5315.0,9687.0,11712.0,525.0,942.0,280.0,140269.0,506652.0,8815.0,8921.0,17995.0,9311.0,3271704.0,2438.0,16757.0,2220.0,1851.0,4899.0,798.0,44146.0,59370.0,4431.0,73473.0,1514.0,52062.0,2394.0,690693.0,4738.0,337047.0,8185.0,5115.0,23916.0,1704.0,1683.0,50177.0,8115.0,4261.0,197.0,46281.0,403.0,2639.0,16765.0
421807,"Chardonnay, Monterey, CA 2003",Chardonnay,Chardonnay,9788.0,2885.0,67203.0,6312.0,463.0,895.0,1915.0,16640.0,446916.0,2847.0,37598.0,6150.0,1248.0,14417.0,54571.0,1614.0,3273.0,18486.0,3127.0,2163.0,2720.0,1865.0,11517.0,122311.0,20348.0,47048.0,85.0,8734.0,71527.0,68659.0,10644.0,384763.0,1308.0,1318.0,14548.0,105555.0,3645.0,3596.0,228401.0,2096.0,15653.0,4668.0,691649.0,6186.0,2177.0,88644.0,668.0,2209.0,4614.0,2723.0,171009.0,1065.0,5297.0,3878.0,18758.0,3088.0,126051.0,5210.0,67072.0,54523.0,3553.0,347679.0,330598.0,1783.0,107380.0,3988.0,4914.0,13256.0,11649.0,480.0,1284.0,203.0,97568.0,506502.0,8543.0,7599.0,19003.0,9394.0,3321343.0,646.0,16159.0,2257.0,1946.0,4878.0,719.0,39807.0,57203.0,4494.0,73738.0,1243.0,53226.0,1533.0,746724.0,2240.0,340228.0,7404.0,4966.0,20172.0,1568.0,1681.0,51917.0,2621.0,3946.0,214.0,45758.0,570.0,2806.0,15252.0
